,riskiness,principal,past_due_days,education,age,gender,money_in_checking_account,credit_history,credit_amount,money_in_savings,years_at_present_job,years_at_current_address,rent_housing,own_housing,free_housing,number_of_credits_at_this_bank,is_employed,number_of_dependents,is_foreign_worker,credit_score,num_friends,sentiment,steps,activity,nutrition,num_connections
723,1,800.0,59.0,1.0,32,0,0.0,0.0,697.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,584,374,0.09042510087596756,6263,207,3.156680619795775,184
246,0,1000.0,1.0,0.0,26,0,0.0,3.0,1829.0,1.0,2.0,4.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,701,355,0.69481799693564,5537,194,2.131304913715914,215
2902,0,800.0,-1.0,1.0,27,0,0.0,3.0,2238.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,620,373,0.4677047290125188,7076,400,0.9049829051577779,0
2728,0,1000.0,3.0,0.0,22,0,0.0,3.0,2069.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,710,616,0.29936535593572666,6435,371,0.23115015868878153,174
2883,0,800.0,2.0,1.0,26,0,0.0,1.0,2221.0,3.0,2.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,458,335,0.9984756968417351,5298,300,4.402258714779673,230
376,0,1000.0,13.0,1.0,30,0,2.0,1.0,7596.0,1.0,4.0,4.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,657,392,0.11459128283935116,6571,108,3.2767950956826897,157
3230,1,800.0,27.0,1.0,33,0,0.0,1.0,2570.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,624,309,0.37575075237658884,6773,344,4.663170491348256,159
4967,0,1000.0,1.0,2.0,32,0,1.0,2.0,6967.0,2.0,3.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,773,299,0.3806255853472237,4737,394,0.2237319250511871,182
3634,1,1000.0,60.0,0.0,21,1,1.0,1.0,3031.0,2.0,2.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,523,708,0.26633766860588914,5304,440,0.3315255629040553,154
3725,0,1000.0,0.0,1.0,27,0,0.0,1.0,3149.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,679,429,0.17333012450596852,6127,348,4.96800281155436,166
4700,0,1000.0,2.0,1.0,52,0,0.0,3.0,5801.0,0.0,4.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,602,319,0.882965374143158,7087,352,4.76411060490924,0
3364,0,1000.0,-1.0,0.0,25,0,0.0,1.0,2697.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,441,431,0.6640811864201585,6883,234,1.335027103553179,189
3525,0,300.0,1.0,1.0,36,0,1.0,1.0,2896.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,559,365,0.38682399097306164,6748,411,0.21802735210075308,170
194,0,1000.0,0.0,1.0,21,0,0.0,3.0,2515.0,1.0,4.0,4.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,587,629,0.9293642735262581,4320,245,0.9374459342124342,265
2558,0,1000.0,-4.0,0.0,23,1,0.0,3.0,1935.0,1.0,4.0,4.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,489,603,0.044915364023862536,5207,440,1.9476702157360855,213
7,0,1000.0,-18.0,0.0,36,0,0.0,3.0,3069.0,1.0,3.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,617,257,0.5275110126235824,7158,216,4.92715240779202,154
5351,1,800.0,59.0,1.0,43,0,0.0,1.0,10974.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,613,0,0.5060165537343686,5895,268,0.48045170582427577,160
237,0,800.0,1.0,1.0,36,0,1.0,1.0,2101.0,1.0,1.0,4.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,782,311,0.05452595008303451,6619,273,2.7292898150731517,233
1757,1,1000.0,59.0,1.0,29,0,0.0,1.0,1371.0,0.0,2.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,644,412,0.8030514742262655,5306,422,2.752070100449588,174
291,0,1000.0,1.0,0.0,41,0,0.0,3.0,1455.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,431,218,0.182815906662402,6948,263,4.3147251881664985,133
4403,0,1000.0,1.0,0.0,40,0,0.0,2.0,4454.0,1.0,2.0,4.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,829,246,0.028939632760451306,6101,404,0.5365700683068836,219
2536,0,1000.0,0.0,1.0,31,0,2.0,1.0,1925.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,458,280,0.7751643916392645,3087,285,4.23821028004915,150
3559,0,1000.0,1.0,1.0,23,1,1.0,1.0,2930.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,760,611,0.16872556290777685,6244,335,3.116433281194604,163
3600,0,1000.0,0.0,2.0,41,0,1.0,1.0,3001.0,1.0,3.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,834,323,0.5226196785017992,6577,206,4.388260776171634,149
1128,0,1000.0,-3.0,1.0,36,0,1.0,2.0,1050.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,737,0,0.8033787060797535,7885,377,1.6521302976785819,0
1881,0,800.0,-3.0,1.0,38,1,1.0,1.0,1414.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,654,252,0.16044966140056538,5120,294,4.109083275072824,183
123,0,1000.0,-1.0,0.0,23,0,0.0,3.0,3979.0,4.0,2.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,580,663,0.1772418924066841,8181,370,4.108132323092432,200
199,0,800.0,0.0,2.0,29,0,0.0,3.0,3868.0,0.0,3.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,548,295,0.3919412814060125,6873,329,1.8431531820690028,190
510,0,1000.0,-4.0,0.0,25,1,0.0,3.0,338.0,3.0,4.0,4.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,712,414,0.5419977384556706,4916,266,1.1514005089594936,259
3629,0,1000.0,0.0,0.0,29,1,0.0,1.0,3029.0,1.0,3.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,526,401,0.9383084137830991,5496,474,4.496458567861945,243
4115,0,1000.0,0.0,3.0,48,0,0.0,1.0,3763.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,813,193,0.8644131706740159,7090,199,4.076618287451938,163
1295,1,800.0,74.0,1.0,22,1,0.0,3.0,1190.0,1.0,0.0,4.0,0.0,0.0,1.0,3.0,0.0,2.0,1.0,413,640,0.8053125175265897,5544,329,0.22908378392847595,216
2209,0,800.0,-2.0,1.0,37,0,1.0,1.0,1577.0,4.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,658,199,0.4121155011013873,6754,170,2.0773777294541187,216
223,0,1000.0,0.0,0.0,30,0,0.0,2.0,2862.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,463,299,0.9397760082527976,9376,372,3.9900339864649226,162
4117,0,1000.0,-5.0,0.0,37,0,0.0,1.0,3763.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,732,318,0.09278181091971915,4479,417,0.7716196175536205,177
4180,0,1000.0,-3.0,0.0,56,1,1.0,1.0,3872.0,1.0,0.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,466,153,0.7530461167304697,6715,193,1.6750386396198529,288
3054,0,1000.0,13.0,2.0,67,1,0.0,3.0,2346.0,1.0,3.0,3.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,837,81,0.041829767315627486,6181,248,1.1705574511608274,76
1353,1,1000.0,58.0,0.0,32,0,1.0,2.0,1209.0,1.0,0.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,550,370,0.18773732635946017,5237,175,3.4801434066919184,190
5418,1,1000.0,59.0,0.0,33,0,1.0,1.0,12612.0,2.0,2.0,4.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,815,407,0.13535667112299354,4979,292,2.6640803281228953,157
3969,0,800.0,1.0,0.0,35,0,0.0,3.0,3565.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,671,0,0.5533192145628303,5710,204,3.5172364806376515,197
838,1,1000.0,23.0,0.0,28,0,1.0,1.0,766.0,3.0,2.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,708,379,0.15972811147829769,3050,310,4.217035437372584,224
2441,1,800.0,29.0,0.0,31,0,0.0,3.0,1864.0,2.0,2.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,545,378,0.07641151218639075,6667,375,4.434788992891728,123
4053,0,1000.0,-2.0,1.0,27,0,0.0,1.0,3622.0,4.0,4.0,4.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,629,331,0.541148930860392,5172,375,1.88696941832639,223
2782,1,1000.0,59.0,2.0,49,0,0.0,3.0,2124.0,1.0,2.0,4.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,791,163,0.0881767430237198,7570,190,3.875790739696132,193
4350,0,300.0,2.0,0.0,33,0,0.0,2.0,4272.0,2.0,2.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,813,0,0.3230957253434876,5290,330,1.5104421989508081,135
1980,0,1000.0,1.0,2.0,23,1,0.0,1.0,1474.0,2.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,757,622,0.3043748018621626,4699,327,2.6071915712315974,154
5169,0,1000.0,1.0,1.0,47,0,0.0,1.0,8133.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,496,229,0.27337571111388137,7766,242,2.6188380344948166,154
3445,0,1000.0,0.0,0.0,30,1,1.0,1.0,2779.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,561,354,0.8326639868880418,6750,211,4.220614288353822,118
1675,1,1000.0,59.0,2.0,53,1,2.0,0.0,1337.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,760,193,0.13625081776809167,6788,205,2.567103241578658,0
4302,1,1000.0,74.0,2.0,24,1,1.0,1.0,4113.0,3.0,1.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,616,535,0.9952661876639741,5277,243,2.5357990421148764,161
3140,0,800.0,0.0,2.0,27,1,1.0,2.0,2427.0,0.0,4.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,686,0,0.044236436984486094,5957,257,3.973411749889272,190
4712,0,1000.0,1.0,1.0,50,0,0.0,3.0,5842.0,1.0,4.0,2.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,753,241,0.9500296561674474,6531,247,1.9992414121913877,270
4161,0,1000.0,8.0,2.0,23,0,0.0,3.0,3850.0,1.0,3.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,616,769,0.21971933419041312,6019,385,1.7084044998750252,0
1146,0,1000.0,0.0,0.0,32,0,1.0,1.0,1068.0,1.0,4.0,4.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,464,391,0.23493570299863165,6621,211,2.8299360280408514,142
4433,0,1000.0,0.0,1.0,42,0,0.0,3.0,4530.0,1.0,3.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,755,404,0.3447906618452329,7637,354,0.44512919477809165,181
276,0,1000.0,1.0,0.0,37,0,1.0,3.0,2978.0,1.0,2.0,4.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,623,221,0.05591425766248337,6866,520,4.591317051472289,198
924,0,1000.0,0.0,1.0,25,1,1.0,3.0,882.0,1.0,1.0,4.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,443,0,0.4271628638564129,5300,221,2.7503440073441308,211
4493,0,1000.0,1.0,2.0,30,0,1.0,2.0,4712.0,0.0,2.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,617,346,0.4532026710411139,5087,209,1.3712763730379174,0
4345,1,1000.0,59.0,1.0,35,0,1.0,3.0,4249.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,748,212,0.3109476492305009,6340,329,4.8155767269622185,183
2925,0,800.0,0.0,0.0,21,0,0.0,1.0,2249.0,2.0,3.0,3.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,513,605,0.5705772117673874,4334,386,2.9593094744419823,181
1306,1,1000.0,60.0,0.0,26,0,0.0,0.0,1198.0,1.0,4.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,451,457,0.1824847379028468,6703,257,1.2299695973963636,227
1255,0,1000.0,2.0,2.0,32,1,0.0,3.0,1163.0,3.0,2.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,416,317,0.03209894248243772,4982,416,2.557877231312476,149
5256,0,800.0,-3.0,0.0,74,0,0.0,1.0,9277.0,0.0,2.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,785,0,0.38823742727397303,5360,255,4.508168707288549,42
1009,0,800.0,-2.0,0.0,45,0,0.0,3.0,936.0,3.0,4.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,496,212,0.7401182030928315,8694,270,2.3637334096322715,221
1250,0,1000.0,-5.0,0.0,49,1,1.0,1.0,1158.0,3.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,425,208,0.861603275561755,6545,299,4.834802768956524,193
950,1,1000.0,27.0,0.0,30,0,0.0,1.0,902.0,1.0,3.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,442,334,0.28056915995709797,5114,368,4.659257525618919,181
792,0,1000.0,1.0,1.0,44,1,0.0,3.0,731.0,1.0,4.0,4.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,578,322,0.8258668992288856,7316,151,4.819404616070488,214
3307,1,1000.0,74.0,0.0,65,0,1.0,1.0,2631.0,2.0,2.0,4.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,807,73,0.9172100665389769,4348,23,3.54784486785117,81
399,1,1000.0,36.0,0.0,26,0,1.0,3.0,2631.0,1.0,4.0,3.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,681,474,0.6732980600918215,4430,262,4.23934404670341,0
2870,0,800.0,-10.0,1.0,36,0,0.0,1.0,2212.0,0.0,3.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,458,277,0.054086396353576704,6995,310,1.8916786664205159,143
2636,0,1000.0,-2.0,1.0,27,0,0.0,1.0,1979.0,0.0,4.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,522,373,0.1703222062239088,7227,293,1.139890536319557,261
1568,0,1000.0,0.0,1.0,37,0,0.0,3.0,1287.0,4.0,4.0,4.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,708,252,0.6022376732419348,6294,204,2.490253189373692,191
2,0,1000.0,-25.0,0.0,33,1,0.0,1.0,3229.0,1.0,4.0,4.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,780,358,0.6306763159321738,6912,343,3.6178264485903187,133
3814,1,1000.0,44.0,1.0,29,0,0.0,1.0,3345.0,1.0,4.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,773,400,0.9626775083586302,3356,371,2.0782395526249258,240
373,0,1000.0,9.0,1.0,40,0,0.0,3.0,1768.0,1.0,4.0,4.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,768,239,0.20455773646021513,6158,352,2.1103590172727777,169
3682,0,1000.0,-1.0,1.0,40,0,0.0,1.0,3079.0,0.0,2.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,803,304,0.4158179605341875,5697,375,3.0965722021060973,174
2511,1,800.0,74.0,1.0,24,1,1.0,2.0,1919.0,2.0,1.0,3.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,667,650,0.9751032240248042,5096,287,3.7181400621205447,268
4589,0,1000.0,1.0,1.0,28,0,0.0,2.0,5117.0,1.0,3.0,4.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,654,330,0.779445201591028,8129,398,0.5595472588923228,182
4135,0,1000.0,-5.0,1.0,47,0,0.0,1.0,3812.0,2.0,1.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,780,220,0.20303574202556707,6382,162,3.8117185313508157,178
1842,0,1000.0,1.0,1.0,25,0,0.0,1.0,1403.0,1.0,2.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,427,364,0.526019932619518,6687,258,0.9604647672523503,189
2035,0,1000.0,1.0,0.0,33,0,0.0,3.0,1503.0,1.0,3.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,701,420,0.28207301705931886,6175,174,2.1200843955940556,128
4689,0,1000.0,0.0,1.0,33,1,1.0,3.0,5743.0,1.0,1.0,4.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,688,337,0.6259002584682807,6833,477,3.629633530505063,177
884,0,800.0,0.0,1.0,26,0,0.0,1.0,804.0,1.0,4.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,493,330,0.7574662164660699,8157,463,3.12194612947445,268
4021,0,1000.0,-2.0,0.0,24,1,0.0,0.0,3609.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,676,643,0.6861922290119177,8984,408,2.36749517776412,208
5192,1,1000.0,27.0,1.0,29,0,1.0,3.0,8386.0,1.0,3.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,649,346,0.6347444984237393,7192,390,1.9098760466415843,168
3487,0,1000.0,-1.0,1.0,64,1,0.0,3.0,2831.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,795,129,0.5525246542811474,6358,138,4.387635428712107,217
4054,0,1000.0,1.0,2.0,67,1,0.0,1.0,3622.0,4.0,4.0,4.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,668,97,0.7900422379952149,6847,22,3.725434700112107,103
5179,1,1000.0,75.0,1.0,26,1,1.0,0.0,8318.0,1.0,4.0,4.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,772,407,0.6490269265267427,5578,296,4.9878264413385125,194
1367,1,800.0,75.0,1.0,42,0,0.0,1.0,1216.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,654,243,0.6819408328572734,8894,298,3.201753434692244,0
2851,0,1000.0,-2.0,0.0,29,1,1.0,3.0,2181.0,0.0,4.0,4.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,439,325,0.9591764817762741,5600,244,1.042632495432747,144
131,0,1000.0,-1.0,0.0,43,0,0.0,1.0,1101.0,1.0,2.0,4.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,764,196,0.7250032289975772,7353,273,3.4875143536512465,132
3863,0,1000.0,1.0,1.0,21,0,0.0,3.0,3398.0,1.0,3.0,4.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,722,595,0.7281987276753286,6925,361,2.153789542745965,242
1084,0,800.0,0.0,1.0,52,1,1.0,1.0,1007.0,4.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,613,235,0.6339336981016709,6017,194,1.3541239807545546,256
1992,0,1000.0,0.0,0.0,27,1,0.0,3.0,1478.0,1.0,4.0,4.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,722,300,0.4369159992006787,5773,462,3.151265564723304,177
781,1,1000.0,59.0,2.0,50,0,0.0,1.0,727.0,2.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,741,311,0.3548816440310183,6043,233,0.020148990698610758,243
4838,1,800.0,59.0,0.0,28,0,0.0,3.0,6331.0,1.0,4.0,4.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,567,423,0.32005589324179295,6306,345,0.1965665062790084,162
4311,0,1000.0,0.0,2.0,28,0,0.0,2.0,4151.0,2.0,2.0,3.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,424,355,0.7743237951011829,7776,372,3.0492270591277215,193
1095,0,1000.0,2.0,0.0,32,1,1.0,1.0,1037.0,2.0,3.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,712,359,0.5868120640110478,7519,264,1.5490568385545749,150
3692,0,1000.0,1.0,0.0,36,0,0.0,0.0,3104.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,613,282,0.6417683701814064,4532,383,1.2244603474946414,219
5454,1,800.0,59.0,0.0,29,1,1.0,1.0,14318.0,1.0,4.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,643,382,0.13504852149803148,5806,412,2.537245853898194,226
2172,1,1000.0,60.0,1.0,42,0,0.0,2.0,1555.0,4.0,4.0,4.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,711,292,0.6484698291494237,5161,283,1.0396091279430364,148
4220,0,1000.0,0.0,0.0,34,0,2.0,1.0,3949.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,662,337,0.0355219920276062,7078,308,4.0910341318597006,0
3887,0,1000.0,-6.0,0.0,40,0,0.0,1.0,3430.0,3.0,4.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,738,254,0.1732624125064005,4813,197,3.1845102736477253,176
3152,0,1000.0,1.0,0.0,45,0,0.0,3.0,2442.0,1.0,4.0,4.0,0.0,1.0,0.0,4.0,1.0,2.0,1.0,676,239,0.8211960998200994,5796,391,2.098360807345068,196
1730,0,1000.0,-15.0,1.0,26,0,0.0,3.0,1360.0,1.0,2.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,535,442,0.7616289239036668,5470,297,3.360606951513207,211
1620,0,1000.0,-2.0,1.0,25,1,1.0,1.0,1308.0,1.0,4.0,4.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,835,353,0.026749635704812924,8195,168,4.8091425120319915,226
385,1,1000.0,25.0,0.0,26,0,0.0,0.0,7485.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,760,382,0.9915456715984822,6424,200,2.7903815625802015,208
1183,0,1000.0,0.0,1.0,47,0,1.0,1.0,1103.0,1.0,3.0,3.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,637,321,0.20797610272938827,6530,268,0.462523603885156,167
2755,0,1000.0,0.0,0.0,27,0,0.0,1.0,2108.0,1.0,3.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,565,287,0.10525943581930786,6300,321,1.3877797204630837,189
1539,0,1000.0,-2.0,0.0,24,0,2.0,3.0,1275.0,4.0,2.0,4.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,543,674,0.7973973628262134,9019,173,4.891824242100524,181
775,1,1000.0,25.0,0.0,32,0,0.0,1.0,727.0,2.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,657,345,0.7571615286398498,4276,279,4.526108848569192,196
2698,1,1000.0,59.0,2.0,36,0,0.0,1.0,2039.0,1.0,2.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,723,232,0.23548856108862182,6840,366,0.5563421485562958,170
3764,0,800.0,-22.0,2.0,32,0,1.0,1.0,3213.0,3.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,827,293,0.3014647287389963,7655,253,3.983252064259864,160
2182,0,1000.0,-1.0,0.0,33,0,1.0,1.0,1567.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,703,440,0.9859183977015905,6001,288,2.535073745376948,158
1718,0,800.0,-8.0,2.0,24,0,0.0,1.0,1352.0,3.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,469,677,0.47044987904026736,7506,186,4.423518262188127,253
3938,0,800.0,0.0,2.0,65,0,1.0,1.0,3512.0,2.0,3.0,3.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,843,152,0.5345285926682066,5073,82,1.3429969868068508,60
2175,0,1000.0,1.0,2.0,26,1,0.0,0.0,1559.0,1.0,3.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,780,290,0.25480299322902356,4211,301,1.9158584513524846,213
1712,0,1000.0,0.0,2.0,50,0,2.0,3.0,1347.0,0.0,3.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,400,173,0.5489513277720398,7303,256,1.3150907269235206,0
1276,0,1000.0,7.0,0.0,37,0,0.0,3.0,1169.0,0.0,4.0,4.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,771,288,0.07502044858611956,7498,317,2.836414560687364,177
4222,0,1000.0,1.0,0.0,24,1,2.0,1.0,3949.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,689,611,0.6136831671691398,5925,253,4.272307622772392,227
75,0,1000.0,-2.0,1.0,30,0,1.0,1.0,4795.0,0.0,4.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,659,421,0.5115278781922318,5467,241,1.3481906061049913,167
210,0,1000.0,0.0,0.0,27,0,1.0,0.0,12749.0,2.0,4.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,602,281,0.7445931893434392,6784,321,3.0682131605476,221
3452,0,1000.0,-1.0,1.0,28,1,0.0,1.0,2782.0,3.0,3.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,406,297,0.19016396912046118,7912,249,3.5485141037761596,229
1839,0,1000.0,4.0,0.0,31,0,0.0,3.0,1402.0,3.0,3.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,500,408,0.5575646599231567,6996,436,2.6280865712556207,134
69,0,1000.0,-3.0,0.0,43,0,1.0,1.0,662.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,786,298,0.3043347567339866,7337,360,2.7754966535583714,118
3206,1,1000.0,59.0,0.0,24,0,1.0,3.0,2520.0,3.0,2.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,756,648,0.15919743990458168,7533,232,2.8144048774929233,216
5421,1,1000.0,75.0,0.0,37,0,0.0,3.0,12680.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,491,365,0.6622299354694027,4026,344,1.57273655391678,153
4691,0,1000.0,0.0,2.0,34,0,0.0,3.0,5771.0,1.0,3.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,726,317,0.5809157458697073,4790,137,3.6976751778677155,173
1180,0,800.0,3.0,2.0,56,1,1.0,1.0,1103.0,1.0,3.0,3.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,482,79,0.8218177708163449,7063,234,4.94233018720622,245
4639,0,1000.0,-6.0,1.0,44,1,0.0,1.0,5324.0,3.0,4.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,545,304,0.5227401642585184,5689,282,2.105196352873346,176
1878,0,1000.0,1.0,0.0,57,0,0.0,1.0,1413.0,4.0,3.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,594,90,0.2250822875589521,5883,175,2.170410186597294,246
2478,0,1000.0,-2.0,0.0,47,0,1.0,3.0,1887.0,0.0,2.0,4.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,803,212,0.4622858867470274,5676,406,4.65554222527621,205
3159,0,1000.0,2.0,2.0,41,0,0.0,1.0,2445.0,0.0,1.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,834,0,0.4822118602298423,6706,332,0.7942780162893093,129
4557,1,1000.0,27.0,0.0,31,1,1.0,3.0,4933.0,1.0,3.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,587,285,0.4874035049998543,7346,307,2.0529044570662327,179
